symbol;datetime;open;high;low;close;volume;symbol_id
ETHUSDT;20/08/21 2:00;3239.1;3242;3225.98;3229.35;18675.828;334
ETHUSDT;20/08/21 2:15;3229.35;3239.39;3222.94;3234.29;16193.059;334
ETHUSDT;20/08/21 2:30;3234.29;3242;3232;3240.6;15950.896;334
ETHUSDT;20/08/21 2:45;3240.61;3244.01;3228.56;3232.88;14743.832;334
ETHUSDT;20/08/21 3:00;3232.87;3236.46;3219.86;3224.95;21605.834;334
ETHUSDT;20/08/21 3:15;3224.95;3227.92;3211.73;3216.78;23683.496;334
ETHUSDT;20/08/21 3:30;3216.78;3227.08;3215;3221.24;15647.444;334
ETHUSDT;20/08/21 3:45;3221.23;3226.97;3213.75;3221.09;10267.295;334
ETHUSDT;20/08/21 4:00;3221.09;3234.93;3212.33;3224.69;30986.287;334
ETHUSDT;20/08/21 4:15;3224.7;3234.68;3222.07;3222.7;15588.816;334
ETHUSDT;20/08/21 4:30;3222.69;3229.96;3219;3229.33;11957.858;334
ETHUSDT;20/08/21 4:45;3229.33;3233.99;3222.21;3225.53;11059.804;334
ETHUSDT;20/08/21 5:00;3225.53;3226.8;3207.14;3208.2;22672.027;334
ETHUSDT;20/08/21 5:15;3208.2;3226.81;3207.24;3222.8;20123.082;334
ETHUSDT;20/08/21 5:30;3222.8;3231;3217.5;3223.29;20516.697;334
ETHUSDT;20/08/21 5:45;3223.29;3228.73;3217;3228.73;9383.049;334
ETHUSDT;20/08/21 6:00;3228.73;3237.84;3224.16;3236.95;17244.248;334
ETHUSDT;20/08/21 6:15;3236.95;3237.41;3228.31;3232.6;11189.707;334
ETHUSDT;20/08/21 6:30;3232.6;3232.6;3217.29;3219.45;12824.705;334
ETHUSDT;20/08/21 6:45;3219.44;3232.12;3217.71;3231.8;11388.187;334
ETHUSDT;20/08/21 7:00;3231.81;3234.41;3223;3223.22;11355.507;334
ETHUSDT;20/08/21 7:15;3223.22;3234.74;3223.2;3224.29;12786.552;334
ETHUSDT;20/08/21 7:30;3224.29;3225.63;3212.08;3221.56;22659.475;334
ETHUSDT;20/08/21 7:45;3221.56;3221.73;3209;3219.95;18887.84;334
ETHUSDT;20/08/21 8:00;3220;3229.38;3190;3197.78;49415.695;334
ETHUSDT;20/08/21 8:15;3197.78;3209.66;3196.3;3206.57;21250.71;334
ETHUSDT;20/08/21 8:30;3206.56;3207.4;3192;3195.74;26237.729;334
ETHUSDT;20/08/21 8:45;3195.74;3204.55;3193.21;3203.46;15303.012;334
ETHUSDT;20/08/21 9:00;3203.45;3221.24;3200.48;3215.16;26614.389;334
ETHUSDT;20/08/21 9:15;3215.17;3215.36;3201.33;3204.23;14222.912;334
ETHUSDT;20/08/21 9:30;3204.24;3217.96;3197.58;3217.45;21752.58;334
ETHUSDT;20/08/21 9:45;3217.46;3220;3208.01;3212.05;10372.791;334
ETHUSDT;20/08/21 10:00;3212.04;3216.02;3206.03;3211.1;12197.352;334
ETHUSDT;20/08/21 10:15;3211.11;3222.82;3210.18;3222.82;11597.826;334
ETHUSDT;20/08/21 10:30;3222.82;3228.28;3216.87;3219.9;20595.639;334
ETHUSDT;20/08/21 10:45;3219.91;3221;3214.39;3220.58;9472.663;334
ETHUSDT;20/08/21 11:00;3220.57;3220.82;3210;3211.89;10423.338;334
ETHUSDT;20/08/21 11:15;3211.89;3217.99;3206.81;3216.71;10058.734;334
ETHUSDT;20/08/21 11:30;3216.71;3219;3207;3208.87;10833.173;334
ETHUSDT;20/08/21 11:45;3208.86;3212;3202;3207.36;12313.174;334
ETHUSDT;20/08/21 12:00;3207.36;3217.65;3205.89;3217.17;11430.254;334
ETHUSDT;20/08/21 12:15;3217.18;3228.23;3210.17;3226.9;15807.389;334
ETHUSDT;20/08/21 12:30;3226.9;3227.03;3215.6;3216.17;13884.648;334
ETHUSDT;20/08/21 12:45;3216.18;3245.86;3213;3239.32;40626.836;334
ETHUSDT;20/08/21 13:00;3239.32;3245;3228;3232.95;27911.252;334
ETHUSDT;20/08/21 13:15;3232.94;3255;3229.6;3242.88;41881.203;334
ETHUSDT;20/08/21 13:30;3242.88;3258.87;3238;3256.07;38821.305;334
ETHUSDT;20/08/21 13:45;3256.07;3265;3249.11;3262.95;38978.113;334
ETHUSDT;20/08/21 14:00;3262.96;3265.45;3253.2;3264.99;27379.762;334
ETHUSDT;20/08/21 14:15;3265;3280;3261.13;3275.99;50799.49;334
ETHUSDT;20/08/21 14:30;3276.08;3292;3268.04;3291.86;55248.52;334
ETHUSDT;20/08/21 14:45;3291.86;3308.26;3273.13;3285.18;112910.67;334
ETHUSDT;20/08/21 15:00;3285.19;3289.61;3262.55;3270.87;62214.016;334
ETHUSDT;20/08/21 15:15;3270.86;3293.21;3270.51;3288.49;29693.902;334
ETHUSDT;20/08/21 15:30;3288.5;3288.5;3276;3282.48;20372.045;334
ETHUSDT;20/08/21 15:45;3282.49;3289.1;3275.48;3286.44;19595.012;334
ETHUSDT;20/08/21 16:00;3286.44;3291.99;3276.65;3291.76;27647.385;334
ETHUSDT;20/08/21 16:15;3291.76;3301.73;3282.28;3299.99;47740.79;334
ETHUSDT;20/08/21 16:30;3299.99;3302.23;3268.22;3278.01;38856.977;334
ETHUSDT;20/08/21 16:45;3278;3278;3239.65;3266.11;49223.746;334
ETHUSDT;20/08/21 17:00;3266.1;3276.71;3265;3269.8;15533.612;334
ETHUSDT;20/08/21 17:15;3269.79;3277.55;3260.54;3263.51;16061.202;334
ETHUSDT;20/08/21 17:30;3263.52;3268.88;3250;3251.83;21742.164;334
ETHUSDT;20/08/21 17:45;3251.84;3258.9;3251.69;3252.1;16230.535;334
ETHUSDT;20/08/21 18:00;3252.1;3259.65;3242.75;3244.44;21603.28;334
ETHUSDT;20/08/21 18:15;3244.44;3250.34;3231.67;3233.7;32203.152;334
ETHUSDT;20/08/21 18:30;3233.7;3239;3220;3234;36901.43;334
